Well,HOAt,Acid ,P,random stuff,,,Well,SMILES, ,,,,,,,,,,,,,,,,,,,,,,SMILES y,MW y,mean_corr_activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,50,49,0,1,,0%,B12,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(F)c1Cl)ccc1Cl, ,,,,,,,,,,,,,,,,,,,,,,Cc(cc1[N+]([O-])=O)cnc1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,530.971,81.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B5,45,7,47,1,,85%,B13,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cccc1)c1Sc1ccccc1, ,,,,,,,,,,,,,,,,,,,,,,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCC1C(F)(F)F,530.976,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6,46,0,44,10,,81%,B14,Oc(cc1)ccc1N(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O, ,,,,,,,,,,,,,,,,,,,,,,COc1cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)cc(OC)c1,531.01,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7,41,18,38,3,,64%,B15,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1Oc(cc1)ccc1Cl, ,,,,,,,,,,,,,,,,,,,,,,COc(cc(CNC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)cc1)c1O,531.01,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8,34,18,12,36,"two products (amide 9%, ester 3%)",18%,B16,CN(CC1)CCN1C(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O, ,,,,,,,,,,,,,,,,,,,,,,OC(CNC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c(cc1)ccc1O,531.01,82.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9,27,28,0,45,amine,0%,B17,CC(C)c1nc(CN(C)C(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)cs1, ,,,,,,,,,,,,,,,,,,,,,,CCN(Cc(cc1)ccc1F)C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,531.029,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B10,45,13,37,5,,67%,B18,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc1)ccc1OC(F)(F)F, ,,,,,,,,,,,,,,,,,,,,,,N#Cc(c(F)c1)cc(F)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,531.949,73.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B11,33,38,0,29,,0%,B19,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NC(c1ccccc1)c1ccccc1, ,,,,,,,,,,,,,,,,,,,,,,[O-][N+](c(cc(cc1)O)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O,531.955,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B12,34,36,0,30,amine,0%,B2,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(Cl)cc(Cl)c1)c1Br, ,,,,,,,,,,,,,,,,,,,,,,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCN1C(C1CC1)=O,532.042,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B13,28,29,0,43,amine,0%,B3,OC(CC1)(CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c(cc1)ccc1Cl, ,,,,,,,,,,,,,,,,,,,,,,COc1cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)nc(OC)n1,532.987,84.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
