SMILES y,MW y,mean_corr_activity
Cc1n[nH]c(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Br,553.847,63.3
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(c(Cl)ccc1)c1Cl,553.876,66.2
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc1cc(Cl)cc(Cl)c1,553.876,11.7
CN(C(c(cc1)c2cc1NC(CN(CC1C(Nc3cncc4ccccc34)=O)Cc(cc3)c1cc3Cl)=O)=O)C2=O,554.005,84.1
CN(CC1)CC(c2ccccc2)N1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,554.092,28.3
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cc(OC(F)(F)F)ccc1,554.955,74.5
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cccc1C(NN2)=O)c1C2=O,554.993,71.4
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCC1Oc1ccccc1,555.076,71.5
CC(C)c1cccc(C(C)C)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,555.12,38.5
Oc(c(Cl)cc(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1)c1Cl,555.848,44.7
Oc(c(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)cc(Cl)c1)c1Cl,555.848,31.2
Cc(nc1Cl)nc(Cl)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,555.852,83.6
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1nnc(-c2ccncc2)s1,556.049,63.7
Oc(cccc1)c1N(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,556.064,20.5
Oc(cc1)ccc1N(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,556.064,74.1
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cc(N2CCOCC2)ccc1,556.064,24.8
CCS(N(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)(=O)=O,556.085,73
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cccc1C(F)(F)F)c1F,556.946,82
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)c(C(F)(F)F)cc1F,556.946,86.2
OC[C@H]([C@H]([C@@H]([C@H]1NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)O)O)OC1O,557.001,46.2
OCCn1c(ncnc2NC(CN(CC3C(Nc4cncc5ccccc45)=O)Cc(cc4)c3cc4Cl)=O)c2nc1,557.012,84
CC(CC(C1)C2)(CC1(C)C1)CC12NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,557.136,37.8
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1Cl)cc(Cl)c1F,557.839,80.6
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(F)c1Cl)ccc1Cl,557.839,83.7
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCN1C(c1ccco1)=O,558.036,74
N[C@@H](Cc(cc1)ccc1O)C(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O,558.036,17
CC(Nc(cc1)cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1OC)=O,558.036,41.3
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(C1CCCCC1)C1CCCCC1,559.152,79.3
CCCc1nn(C)c(C(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)=O)c1N,560.056,19.8
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc1)ccc1-c1ccccc1,561.083,54.4
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1c(Cc2ccccc2)cccc1,561.083,31.3
