ID,SMILES
EN300-02157,Nc1ccc(Cl)c(S(=O)(=O)Nc2ccc(Cl)cc2)c1
EN300-02170,COc1ccccc1NS(=O)(=O)c1ccc(N2CCOCC2)c(N)c1
EN300-08037,N#CSc1ccc(N)cc1
EN300-51150,Nc1cccc2c1OCCO2
EN300-02498,CCN(CC)c1ccc(S(=O)(=O)N(CC)CC)cc1N
EN300-02114,Nc1cccc(S(=O)(=O)N2CCOCC2)c1
EN300-02200,Nc1ccc(S(=O)(=O)N2CCOCC2)cc1
EN300-33973,NC1CCC(O)CC1
EN300-02367,Cc1ccc(NS(=O)(=O)c2cc(N)ccc2Cl)c(C)c1
EN300-02369,Nc1cc(S(=O)(=O)N2CCCCC2)ccc1N1CCCCC1
EN300-20241,Nc1ccc(C(F)(F)F)cc1
EN300-26953,NC(=O)C(N)C(N)=O
EN300-02365,Nc1cccc(S(=O)(=O)N2CCCCCC2)c1
EN300-02493,Nc1nc2c(F)cc(F)cc2s1
EN300-61271,Cc1ccccc1-c1cc(N)[nH]n1
EN300-02286,NC(=O)c1c(N)sc2c1CCC2
EN300-02415,COc1ccc(N)cc1S(=O)(=O)N1CCOCC1
EN300-02844,COc1ccc(S(=O)(=O)Nc2ccccc2OC)cc1N
EN300-13380,Cc1ccc(SCCN)cc1
EN300-50318,NCC1CCCOC1c1ccccc1
EN300-52706,CCC(C)Oc1ccc(N)cc1
EN300-02594,COc1ccc(-c2oc(N)c(C#N)c2-c2ccc(OC)cc2)cc1
EN300-04233,COc1ccc(-c2nc(N)oc2-c2ccc(OC)cc2)cc1
EN300-88613,Nc1ccc(Cl)cc1I
EN300-02235,CC(C)(C)c1ccc(-c2csc(N)n2)cc1
EN300-01211,Nc1cc(S(N)(=O)=O)ccc1O
EN300-02427,Nc1nnc(-c2ccccc2)c(-c2ccccc2)n1
EN300-02429,Nc1cccc(S(=O)(=O)NC2=NCCC2)c1
EN300-02413,CCN1CCc2nc(N)sc2C1
EN300-08123,Nc1nc(-c2ccc(F)c(F)c2)cs1
EN300-02788,Cc1ccc(-c2nc(N)sc2-c2ccc(C)cc2)cc1
EN300-34032,Cc1ccc(C(C)N)cc1
EN300-02633,CCOc1ccc(-c2nc(N)sc2C)cc1
EN300-02501,Nc1ccccc1C(=O)Nc1ccc(F)cc1
EN300-08285,Nc1ccc(N2C(=O)c3cccc4c([N+](=O)[O-])ccc(c34)C2=O)cc1
EN300-01976,Cn1c(=O)c(Br)c(N)n(Cc2ccccc2)c1=O
EN300-02396,COc1ccc(NS(=O)(=O)c2ccc(OC)c(N)c2)cc1
EN300-34041,CCC(N)c1ccccc1
EN300-02968,CCn1c(=O)cc(N)n(Cc2ccccc2)c1=O
EN300-02465,Nc1ccccc1C(=O)NCCc1ccccc1
EN300-05646,CCC(CC)c1nnc(N)s1
EN300-02827,CCCCn1c(N)cc(=O)[nH]c1=O
EN300-02775,COc1ccc(N)cc1S(=O)(=O)Nc1ccc(I)cc1
EN300-02777,Cc1ccc(-c2oc(N)c(C#N)c2-c2ccc(C)cc2)cc1
EN300-02352,Nc1n[nH]c2ccccc12
EN300-02259,Nc1nc2c(s1)CCCC2
EN300-35694,Cc1cc2cc(N)ccc2[nH]1
EN300-02742,Nc1ccc(Cl)c(S(=O)(=O)Nc2ccc(Br)cc2)c1
EN300-02847,CC1=[N+](C)c2ccc(N)cc2C1(C)C.Cc1ccc(S(=O)(=O)[O-])cc1
EN300-02744,Cc1c(NS(=O)(=O)c2ccc(Cl)c(N)c2)c(=O)n(-c2ccccc2)n1C
EN300-08146,N#Cc1ccsc1N
EN300-02531,Nc1ccc(-c2cn3ccsc3n2)cc1
EN300-04884,Nc1nnc(SCc2ccccc2F)s1
EN300-04586,NC(=O)c1cc(-c2ccccc2)sc1N
EN300-02243,CCc1ccc(-c2csc(N)n2)cc1
EN300-02765,COc1ccc(N)cc1S(=O)(=O)Nc1ccc(Br)cc1
EN300-52658,NCc1ccccc1-n1cccn1
EN300-08345,Nc1nc(-c2c[nH]c3ccccc23)cs1
EN300-04609,Cc1nc(N)c(Cl)cc1Cl
EN300-01363,Nc1cc(=O)[nH]c(=O)n1Cc1ccccc1
EN300-02256,Nc1nc(-c2ccc(-c3ccccc3)cc2)cs1
EN300-11760,CCN1CCN(c2ccc(N)cc2)CC1
EN300-49989,COc1ccccc1OCC(=O)Nc1cccc(N)c1
EN300-05414,CCn1c(N)cc(=O)[nH]c1=O
EN300-02208,Cc1cc(N)n(-c2nc3ccccc3s2)n1
EN300-05149,Nc1ccc(F)c(S(=O)(=O)N2CCOCC2)c1
EN300-35926,Cl.Cl.NC1CCc2[nH]ncc2C1
EN300-05419,CCOc1ccc2nc(-c3ccc(N)cc3)sc2c1
EN300-05480,CC1(C)CC(C=Cc2ccccn2)=Cc2c1sc(N)c2C#N
EN300-02561,NCC(c1cccs1)N1CCOCC1
EN300-05811,COc1ccc2nc3ccccc3nc2c1N
EN300-04412,CCN(CC)CCn1c(N)nc2ccccc21
EN300-61188,N#CCN1CCc2ccc(N)cc21
EN300-02445,Cc1ccc(-n2nc(C)cc2N)cc1
EN300-05555,COc1ccc(NC(=O)c2ccccc2N)cc1
EN300-02544,Nc1ncc(Cc2ccc(Br)cc2)s1
EN300-42951,NC1CCCC(O)C1
EN300-02450,Cc1cc(N)n(-c2nc3ccccc3[nH]2)n1
EN300-42902,NC1CCN2CCCC2C1
EN300-53507,COC1CCN(C2CCCCC2N)CC1
EN300-49598,CCSc1ccccc1N
EN300-05182,COc1ccc(S(=O)(=O)N2CCCCCC2)cc1N
EN300-34129,Nc1ccc(-n2cnnn2)cc1
EN300-04686,Cc1cc(C)c(-c2cc(N)[nH]n2)cc1C
EN300-11797,Cc1nn(C)c(C)c1N
EN300-04928,NCCN1C(=O)SC(=Cc2cccc(Cl)c2Cl)C1=O
EN300-02523,CN1C(=O)c2ccc(N)cc2C1=O
EN300-05360,Nc1nn2cc(-c3ccccc3)nc2c2ccccc12
EN300-21034,CCN1CCCC1CN
EN300-06992,CC(C)Oc1ccc(S(=O)(=O)N2CCOCC2)cc1N
EN300-07002,Cc1ccc(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)cc1N
EN300-08545,COc1ccc(C(CN)c2c[nH]c3ccccc23)cc1
EN300-05177,Nc1sc2c(c1C(=O)NCC1CCCO1)CCCC2
EN300-09958,CC(C)C(=O)Nc1ccc(N)cc1
EN300-02252,Nc1nc(-c2cccnc2)cs1
EN300-00996,COc1ccc(-c2csc(N)n2)c(OC)c1
EN300-07507,Nc1cc(C(F)(F)F)c[nH]c1=O
EN300-05028,Cc1ccc(I)c(NS(=O)(=O)c2ccc(Cl)c(N)c2)c1
EN300-05618,Cl.NCCC12CC3CC(CC(C3)C1)C2
EN300-40141,NCc1ccc(F)cc1C(F)(F)F
EN300-14138,CCN(CCCN)c1ccccc1
EN300-02383,CCN(CC)S(=O)(=O)c1ccc(N2CCCC2)c(N)c1
EN300-02463,Nc1cc(S(=O)(=O)Nc2ccc(Br)cc2)ccc1Cl
EN300-02474,CCOc1ccc(NS(=O)(=O)c2cc(N)ccc2C)cc1
EN300-51937,NCCCCn1ccnc1
EN300-24523,N#Cc1ccc(N)c(C(F)(F)F)c1
EN300-09527,Nc1cc(-c2ccc(Cl)cc2)no1
EN300-02869,Nc1ccc(S(=O)(=O)Nc2ccc(I)cc2)cc1
EN300-02877,COc1ccc(N)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1
EN300-51305,NCc1cccc(COc2ccccc2)c1
EN300-07973,Cl.NCC(=O)Nc1cc(Cl)ccc1Cl
EN300-02171,COc1ccc(NS(=O)(=O)c2ccc(N3CCOCC3)c(N)c2)cc1
EN300-02189,Nc1cc(S(=O)(=O)N2CCCCC2)ccc1O
EN300-85919,COc1ccc(C)c(N)c1
EN300-02492,CCCCc1ccc2nc(N)sc2c1
EN300-09773,CC(C)(C)Cc1cc(N)on1
EN300-50257,Cl.NCCCn1nc2ccccn2c1=O
EN300-14140,NCCCOCC1CC1
EN300-01282,CC1CCc2c(sc(N)c2C#N)C1
EN300-06776,CC(N)(C#N)C1CC1
EN300-11311,CSc1ccc(-c2csc(N)n2)cc1
EN300-50466,CN(CCCN)c1ccc(F)cc1
EN300-12325,Cc1ccc2nc(-c3ccccc3)c(N)n2c1
EN300-11843,CN1CCN(c2ccccc2N)CC1
EN300-05103,Nc1nc(-c2ccc(C3CCCCC3)cc2)cs1
EN300-05121,Nc1sc2c(c1C(=O)N1CCOCC1)CCCC2
EN300-02867,CCOc1ccc(NS(=O)(=O)c2ccc(OC)c(N)c2)cc1Br
EN300-14946,Cn1c(N)c(-c2csc(-c3ccc(O)cc3)n2)c(=O)n(C)c1=O
EN300-08537,N#CC1(N)CCCC1
EN300-05461,Cc1cc(N)nc2nc(C(F)(F)F)nn12
EN300-05069,CCn1c(=O)c2c(=O)cc(N)[nH]c2n(Cc2ccccc2)c1=O
EN300-15381,Nc1ccccc1Oc1ccccc1Cl
EN300-13901,Nc1ccc(N2CCCC2=O)cc1
EN300-14223,Cn1ccc(N)n1
EN300-45445,Nc1ccc(S(N)(=O)=O)cc1F
EN300-05139,CCOc1ccc(C=CC2=Cc3c(sc(N)c3C#N)C(C)(C)C2)cc1
EN300-24484,Nc1ccc(SCc2cccnc2)cc1
EN300-24023,COc1ccc(C(N)c2nccn2C)cc1
EN300-24038,Nc1cc2c(cc1Cl)OCO2
EN300-20502,Cl.NC1CCC(O)CC1
EN300-24049,Cl.NC(=O)c1ccc(N2CCCCC2)c(N)c1
EN300-14600,Nc1nc(-c2ccc(N3CCCC3=O)cc2)cs1
EN300-12274,CCC(N)c1ccc(OC)cc1
EN300-04763,Nc1nnc(-c2ccc(Cl)cc2)o1
EN300-07790,Cc1cc(C)cc(-n2nc(C)cc2N)c1
EN300-12909,CN1CCC(N)CC1
EN300-13847,CC(C)C(N)c1ccc2c(c1)OCCCO2
EN300-50106,Cc1ccc(C(CN)N2CCOCC2)cc1
EN300-13712,CCOc1cc(N)c([N+](=O)[O-])cc1OCC
EN300-09289,Cc1cccc(C)c1NC(=O)CN.Cl
EN300-04876,CCn1c(N)nc2ccccc21
EN300-05643,COc1ccc(NC(=O)c2ccccc2N)cc1Cl
EN300-52029,Nc1cc(-c2cccs2)n[nH]1
EN300-16216,Cl.NCC(N)=O
EN300-92094,Nc1cc(Br)cc(C(F)(F)F)c1
EN300-12977,COc1ccc(-c2cc(N)ccc2OC)cc1.Cl
EN300-35048,NCc1ccc(F)cc1F
EN300-30505,Nc1ccc(-c2cccc(C(F)(F)F)c2)cc1
EN300-06641,Cl.Nc1cc(Cl)ccc1Oc1ccc(Cl)cc1
EN300-06248,CCOc1ccc(Oc2ccc(N)cc2)cc1.Cl
EN300-10075,Cc1cc(C)c(NC(=O)CN)c(C)c1.Cl
EN300-50848,CC(=O)Nc1ccc(Cl)c(N)c1
EN300-52929,CC(C)(C)NC(=O)c1ccccc1N
EN300-82112,N#Cc1ccc(N)cc1C#N
EN300-35059,COc1cccc(CN)c1OC
EN300-41781,Cl.NCCC(F)(F)F
EN300-40888,Cl.NCCC(N)=O
